name,rating,category,address,source
해담채 강남점,3.9,한정식,"서울 강남구 논현로85길 70 역삼823빌딩 지하1층
(지번) 역삼동 823-16",kakaomap
농민백암순대 본점,4.5,국밥,"서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33",kakaomap
대가방 본점,3.2,중국요리,"서울 강남구 봉은사로 333 1층 101~102호
(지번) 논현동 278-4",kakaomap
아방궁,3.7,중국요리,"서울 강남구 역삼로1길 18 2층
(지번) 역삼동 831-32",kakaomap
큰물참치 강남점,3.9,참치회,"서울 강남구 테헤란로2길 27 패스트파이브빌딩 1층 102호
(지번) 역삼동 826-26",kakaomap
리북집 논현직영점,3.8,"족발,보쌈","서울 강남구 학동로2길 47
(지번) 논현동 163-4",kakaomap
몽중헌 대치점,3.8,중국요리,"서울 강남구 영동대로 325 S-TOWER 1층
(지번) 대치동 983-17",kakaomap
비야게레로,4.2,양식,"서울 강남구 봉은사로78길 12 1층 101호
(지번) 삼성동 118-21",kakaomap
경천애인2237 삼성본점,4.1,"육류,고기","서울 강남구 테헤란로 421 암천빌딩 3층
(지번) 삼성동 142-46",kakaomap
팀호완 삼성점,3.4,중식,"서울 강남구 봉은사로86길 30 지하1,1층
(지번) 삼성동 148-15",kakaomap
츄라우미 역삼본점,2.9,"초밥,롤","서울 강남구 언주로93길 21 남전타운 2층
(지번) 역삼동 677-5",kakaomap
세종한우 학동역점,3.9,"육류,고기","서울 강남구 학동로 219 국제빌딩 지하1층
(지번) 논현동 89-22",kakaomap
진미평양냉면 별관,3.8,냉면,"서울 강남구 학동로 305-3 정각빌딩 1층
(지번) 논현동 115-10",kakaomap
루위,3.6,중식,"서울 강남구 도산대로 211 1층
(지번) 신사동 587-14",kakaomap
로마옥 도곡,3.7,양식,"서울 강남구 강남대로48길 11 1층
(지번) 도곡동 948-13",kakaomap
